date;close;volume;open;high;low;Roc close
31/01/2017;198.3600;4625875.0000;198.7200;198.8900;197.5600;
30/01/2017;199.3800;4714741.0000;199.8300;199.9000;198.4200;
27/01/2017;200.6300;3576407.0000;200.6900;200.8700;200.4500;
26/01/2017;200.7200;3993655.0000;200.6000;200.9700;200.4200;
25/01/2017;200.4200;4877012.0000;200.0100;200.5500;199.7500;
24/01/2017;198.8400;5204145.0000;197.7900;199.2200;197.6200;
23/01/2017;197.7800;3246469.0000;197.8600;198.1100;197.0400;
20/01/2017;197.9600;6997974.0000;197.5300;198.2000;197.3100;
19/01/2017;197.2800;3043097.0000;198.0300;198.1600;196.6900;
18/01/2017;197.9500;4634843.0000;198.0800;198.2300;197.3000;
17/01/2017;198.0900;3329234.0000;198.2700;198.6500;197.5870;
13/01/2017;198.7000;3468891.0000;198.9100;199.3500;198.3200;
12/01/2017;198.7500;3864931.0000;198.8800;198.9100;197.5300;
11/01/2017;199.3300;5208033.0000;198.6300;199.5700;198.1500;
10/01/2017;198.4000;3021089.0000;198.7200;199.4050;198.2100;
09/01/2017;198.7600;2301811.0000;199.0900;199.2700;198.7500;
06/01/2017;199.5100;4321687.0000;198.7300;199.8300;198.1700;
05/01/2017;198.7500;4123857.0000;198.9500;199.2650;197.8950;
04/01/2017;199.1500;4821882.0000;198.7600;199.3600;198.6000;
03/01/2017;198.4200;6667677.0000;198.9100;199.1000;197.4800;
30/12/2016;197.5100;4276072.0000;198.2500;198.2700;196.9200;
29/12/2016;197.9900;3017428.0000;197.9900;198.5200;197.6300;
28/12/2016;198.0800;3816228.0000;199.5200;199.5600;198.0000;
27/12/2016;199.2100;2340621.0000;199.1600;199.5400;199.1300;
23/12/2016;199.0500;1373278.0000;198.9600;199.0600;198.7300;
22/12/2016;198.9700;2250039.0000;199.1000;199.1700;198.5789;
21/12/2016;199.1600;2522011.0000;199.4300;199.6100;199.1400;
20/12/2016;199.4200;3060861.0000;199.1600;199.6100;199.0600;
19/12/2016;198.6000;2728214.0000;198.3000;198.9000;198.2100;
16/12/2016;198.1900;4466390.0000;198.7000;198.9660;197.9400;
15/12/2016;198.6600;6009082.0000;198.5400;199.6800;198.3400;
14/12/2016;198.1400;7448192.0000;198.9700;199.8300;197.6100;
13/12/2016;199.2300;5355329.0000;198.9600;199.7200;198.6401;
12/12/2016;198.0800;3789886.0000;197.8400;198.3900;197.6800;
09/12/2016;197.6900;4386653.0000;196.4400;197.7200;196.3700;
08/12/2016;196.2800;7030224.0000;195.8300;196.8000;195.4100;
07/12/2016;195.4800;7224468.0000;192.4700;195.6900;192.4200;
06/12/2016;192.4900;2668130.0000;192.1600;192.5700;191.8700;
05/12/2016;192.2200;2922826.0000;192.4800;192.7800;191.8900;
02/12/2016;191.7400;2773025.0000;191.9100;191.9800;191.4300;
01/12/2016;191.9000;8322119.0000;191.8400;192.1600;191.5700;
30/11/2016;191.4000;4772447.0000;191.9700;192.2500;191.3400;
29/11/2016;191.1900;2263758.0000;190.8300;191.4200;190.6800;
28/11/2016;190.7800;3155286.0000;190.9300;191.2100;190.5200;
25/11/2016;191.3000;1547109.0000;191.0900;191.3400;190.9800;
23/11/2016;190.5900;2465678.0000;189.9300;190.6400;189.8700;
22/11/2016;190.0200;2754332.0000;189.9200;190.2500;189.4160;
21/11/2016;189.3400;2994588.0000;188.8800;189.4100;188.6000;
18/11/2016;188.4600;4357576.0000;188.9000;188.9599;188.3200;
17/11/2016;189.3000;4207968.0000;189.0900;189.3300;188.7399;
16/11/2016;188.9800;3457457.0000;188.7900;189.1800;188.5300;
15/11/2016;189.3400;3747775.0000;188.7600;189.3500;188.1400;
14/11/2016;188.7700;4795206.0000;189.1100;189.3900;188.2000;
11/11/2016;188.4700;5003454.0000;187.9500;188.6299;187.4100;
10/11/2016;188.1300;8738980.0000;186.8300;188.8200;186.3500;
09/11/2016;185.9600;8342255.0000;181.9300;186.5500;181.7500;
08/11/2016;183.3800;3431660.0000;182.2000;184.0400;182.0200;
07/11/2016;182.3600;3394986.0000;181.1700;182.4500;181.0500;
04/11/2016;178.7100;4332859.0000;179.1100;179.6700;178.6400;
03/11/2016;179.1100;1966294.0000;179.7000;179.8900;178.8400;
02/11/2016;179.3500;3526989.0000;179.6600;180.2100;179.0500;
01/11/2016;180.1200;3620633.0000;181.5200;181.5200;179.1400;
31/10/2016;181.1700;1414416.0000;181.5800;181.7000;181.0500;
28/10/2016;181.3600;3726582.0000;181.8200;182.3200;180.6700;
27/10/2016;181.5300;2019509.0000;182.3000;182.3500;181.2300;
26/10/2016;181.7700;5373594.0000;180.6000;182.1200;180.3500;
25/10/2016;181.4800;3347565.0000;181.8200;182.1700;181.2500;
24/10/2016;181.9600;1903977.0000;182.3600;182.5000;181.6500;
21/10/2016;181.2200;5606744.0000;180.6000;181.4500;180.2300;
20/10/2016;181.5400;2358628.0000;181.7200;182.4500;181.2200;
19/10/2016;182.0000;1503179.0000;181.8500;182.4100;181.5700;
18/10/2016;181.3700;1717672.0000;181.9400;182.1000;181.1200;
17/10/2016;180.7200;1799993.0000;181.1700;181.5100;180.4500;
14/10/2016;181.2900;2696624.0000;182.0000;182.4600;181.2100;
13/10/2016;180.8400;3458469.0000;180.1300;181.2200;179.4300;
12/10/2016;181.3700;1917084.0000;181.0000;181.8000;180.6600;
11/10/2016;181.2000;3949474.0000;182.8600;182.8900;180.4500;
10/10/2016;183.1200;1878522.0000;183.2000;183.8500;183.0400;
07/10/2016;182.2200;2523248.0000;182.8000;182.9900;181.3200;
06/10/2016;182.5200;2359844.0000;182.3400;182.7400;181.4700;
05/10/2016;182.6600;1817248.0000;182.1600;183.0180;182.1100;
04/10/2016;181.4800;2808953.0000;182.6200;182.9300;180.9350;
03/10/2016;182.3200;1987734.0000;182.3100;182.5700;181.7800;
30/09/2016;182.7800;4582317.0000;182.1300;183.4350;181.9700;
29/09/2016;181.2200;3376184.0000;182.8200;183.4200;180.6500;
28/09/2016;183.1000;6411815.0000;182.3600;183.2300;181.5200;
27/09/2016;182.0000;3713830.0000;180.5800;182.1400;180.2420;
26/09/2016;180.7500;2638563.0000;181.5100;181.5500;180.5800;
23/09/2016;182.4200;1488232.0000;183.4100;183.5200;182.2900;
22/09/2016;183.6600;2322233.0000;183.6600;184.2600;183.3200;
21/09/2016;182.6600;4495185.0000;181.6600;182.8400;180.9600;
20/09/2016;181.0500;1997063.0000;181.8100;182.0400;181.0300;
19/09/2016;180.9800;2259438.0000;181.8800;182.3200;180.6700;
16/09/2016;180.9700;2844006.0000;181.5000;181.5000;180.4400;
15/09/2016;182.2600;3985559.0000;180.3700;182.6200;180.2300;
14/09/2016;180.4300;2987875.0000;180.8400;181.7400;180.0100;
13/09/2016;180.8000;7477066.0000;182.0600;182.3200;180.3800;
12/09/2016;183.3000;7054253.0000;180.0900;183.6400;179.9300;
09/09/2016;180.9100;8237207.0000;183.5700;183.7500;180.9100;
08/09/2016;184.8200;2229427.0000;184.6800;185.1100;184.4800;
07/09/2016;185.3200;1803576.0000;185.3700;185.4000;184.7800;
06/09/2016;185.3200;2152326.0000;185.1100;185.4900;184.4500;
02/09/2016;184.8600;2652709.0000;184.9400;185.4200;184.3200;
01/09/2016;184.1000;3003850.0000;183.7300;184.2800;182.9000;
31/08/2016;183.9400;1875930.0000;184.2500;184.3600;183.2700;
30/08/2016;184.5100;1866445.0000;184.9300;185.1500;184.0200;
29/08/2016;184.8300;2224751.0000;183.8300;185.0400;183.8300;
26/08/2016;183.8200;3402954.0000;184.6200;185.5400;183.1400;
25/08/2016;184.3700;2034942.0000;184.2800;184.7900;184.1000;
24/08/2016;184.6600;1882882.0000;185.0600;185.2000;184.2850;
23/08/2016;185.3000;1648119.0000;185.7000;186.1300;185.2500;
22/08/2016;185.1200;3152416.0000;184.9500;185.5119;184.4600;
19/08/2016;185.3200;2365457.0000;185.3000;185.6450;184.7200;
18/08/2016;186.3400;2571055.0000;185.9700;186.4100;185.7200;
17/08/2016;186.1000;2952045.0000;185.7700;186.2250;185.0900;
16/08/2016;185.7600;1613579.0000;186.1700;186.3700;185.7200;
15/08/2016;186.5200;1561492.0000;186.4000;186.8790;186.3300;
12/08/2016;185.9000;2514747.0000;186.1400;186.2500;185.5185;
11/08/2016;186.3000;2188601.0000;185.7000;186.5800;185.6000;
10/08/2016;185.1200;1618377.0000;185.4000;185.7819;184.8400;
09/08/2016;185.3500;1903742.0000;185.3800;185.8600;185.0600;
08/08/2016;185.2800;2076267.0000;185.5000;185.7000;185.0200;
05/08/2016;185.2600;4187136.0000;184.4000;185.2800;183.4290;
04/08/2016;183.4500;2368275.0000;183.5000;183.8900;183.1500;
03/08/2016;183.3600;3007478.0000;182.8500;183.4300;182.7100;
02/08/2016;182.9700;5139112.0000;183.7000;183.8798;182.3100;
01/08/2016;183.8700;3293927.0000;184.3500;184.5200;183.3800;
29/07/2016;184.1300;4203004.0000;183.8500;184.5000;183.5400;
28/07/2016;184.3800;2897413.0000;184.2800;184.6600;183.5200;
27/07/2016;184.5800;4146108.0000;185.1400;185.2800;184.1100;
26/07/2016;184.6000;4743811.0000;184.6100;185.0200;183.7000;
25/07/2016;184.8100;2316538.0000;185.2700;185.3000;184.3700;
22/07/2016;185.5100;3078242.0000;185.0000;185.5700;184.7600;
21/07/2016;184.9800;2835965.0000;185.5400;185.7300;184.5400;
20/07/2016;185.7800;2152175.0000;185.9000;186.0800;185.3900;
19/07/2016;185.4200;2043232.0000;185.0100;185.4200;184.8200;
18/07/2016;185.0800;2134277.0000;184.8300;185.3800;184.7100;
15/07/2016;184.8800;3836011.0000;185.3500;185.5000;184.4500;
14/07/2016;184.9600;3352595.0000;185.0600;185.2700;184.5674;
13/07/2016;183.6000;2390153.0000;183.6800;183.8000;183.0500;
12/07/2016;183.3900;3127502.0000;183.0100;183.6200;182.7800;
11/07/2016;182.1200;2358447.0000;181.8600;182.7200;181.7800;
08/07/2016;181.3000;5176193.0000;180.0100;181.5600;179.9800;
07/07/2016;178.7900;2337314.0000;179.1500;179.7233;178.0400;
06/07/2016;178.9800;5395250.0000;177.6100;179.1000;176.9600;
05/07/2016;178.2100;3232144.0000;178.5800;178.6800;177.6600;
01/07/2016;179.3100;3996563.0000;178.7800;179.8000;178.7800;
30/06/2016;179.0000;5060126.0000;177.0500;179.0800;176.8600;
29/06/2016;176.6400;5576668.0000;175.1600;176.8200;175.0000;
28/06/2016;173.8200;5641710.0000;172.8500;173.8600;172.2000;
27/06/2016;171.2000;7686471.0000;172.4800;172.4800;170.3700;
24/06/2016;173.7600;11375440.0000;174.5500;176.6800;173.3000;
23/06/2016;179.8100;2923767.0000;179.0200;179.8300;178.6700;
22/06/2016;177.5700;2958775.0000;178.2300;178.9480;177.4300;
21/06/2016;178.0600;1854320.0000;178.1200;178.5300;177.7300;
20/06/2016;177.8000;2958311.0000;178.4000;179.2300;177.7600;
17/06/2016;176.5200;2597461.0000;177.1500;177.1500;175.7700;
16/06/2016;177.4600;5572678.0000;175.7300;177.6650;174.8000;
15/06/2016;176.5700;2470070.0000;177.2500;177.8400;176.3800;
14/06/2016;176.8100;3643140.0000;177.0000;177.4200;175.9993;
