Date	Open	High	Low	Close	Volume
Nov 29, 2016	8,956.19	8,991.61	8,938.43	8,943.58	14,133,036
Nov 28, 2016	9,027.21	9,029.59	8,933.34	8,962.46	16,078,136
Nov 25, 2016	8,999.92	9,044.21	8,999.92	9,044.21	5,898,284
Nov 23, 2016	8,909.22	9,003.67	8,909.10	9,000.04	11,354,286
Nov 22, 2016	8,918.79	8,943.42	8,892.47	8,911.48	14,237,898
Nov 21, 2016	8,869.45	8,907.88	8,868.23	8,897.34	17,462,540
Nov 18, 2016	8,788.92	8,859.06	8,765.04	8,856.47	19,081,864
Nov 17, 2016	8,752.37	8,797.29	8,737.23	8,791.23	15,559,516
Nov 16, 2016	8,801.22	8,816.82	8,716.49	8,749.08	15,086,800
Nov 15, 2016	8,792.88	8,844.53	8,725.75	8,814.50	22,466,869
Nov 14, 2016	8,603.38	8,771.71	8,602.71	8,765.71	19,049,559
Nov 11, 2016	8,530.59	8,579.32	8,499.73	8,578.65	19,898,206
Nov 10, 2016	8,422.28	8,611.17	8,422.28	8,556.60	27,833,577
Nov 9, 2016	8,301.13	8,425.45	8,189.62	8,397.31	29,448,056
Nov 8, 2016	8,285.11	8,345.77	8,158.04	8,328.29	19,029,565
Nov 7, 2016	8,116.68	8,330.91	8,116.68	8,330.36	19,601,279
Nov 4, 2016	8,051.56	8,143.76	8,034.84	8,075.14	14,758,552
Nov 3, 2016	8,040.90	8,108.70	8,035.61	8,053.09	15,677,668
Nov 2, 2016	8,004.24	8,067.37	8,003.57	8,025.80	16,534,563
Nov 1, 2016	8,068.01	8,095.91	7,958.79	8,008.38	16,321,453
Oct 31, 2016	8,043.52	8,075.26	8,028.78	8,058.02	16,268,094
Oct 28, 2016	8,018.61	8,085.40	7,972.50	8,018.55	15,384,854
Oct 27, 2016	7,987.42	8,019.40	7,935.68	8,014.96	18,393,679
Oct 26, 2016	7,947.83	8,034.69	7,885.70	7,967.02	23,383,662
Oct 25, 2016	8,040.36	8,070.87	8,014.93	8,019.16	15,957,058
Oct 24, 2016	8,044.74	8,100.20	8,044.74	8,056.44	14,941,827
Oct 21, 2016	8,006.73	8,035.97	7,950.69	8,026.65	17,008,059
Oct 20, 2016	8,085.62	8,097.49	8,017.85	8,036.34	21,399,261
Oct 19, 2016	8,018.37	8,088.63	8,012.00	8,064.72	15,755,028
Oct 18, 2016	8,031.71	8,087.90	8,005.00	8,008.56	16,153,443
Oct 17, 2016	8,002.41	8,049.26	7,991.99	8,009.53	13,660,096
Oct 14, 2016	8,082.14	8,134.83	8,037.43	8,039.29	15,808,044
Oct 13, 2016	8,027.14	8,076.48	7,937.90	8,055.34	23,215,740
Oct 12, 2016	8,088.72	8,108.58	8,045.05	8,054.98	14,984,484
Oct 11, 2016	8,145.71	8,152.01	8,060.49	8,086.59	17,870,733
Oct 10, 2016	8,073.68	8,145.55	8,073.68	8,137.09	12,579,749
Oct 7, 2016	8,122.89	8,122.89	8,021.72	8,056.86	15,206,169
Oct 6, 2016	8,121.43	8,140.07	8,087.75	8,128.19	13,413,062
Oct 5, 2016	8,087.38	8,145.40	8,086.83	8,128.01	11,204,127
Oct 4, 2016	8,124.54	8,171.93	8,063.29	8,074.89	17,486,438
Oct 3, 2016	8,061.68	8,101.57	8,042.24	8,099.38	14,566,305
Sep 30, 2016	8,005.64	8,105.93	8,005.64	8,078.79	19,546,352
Sep 29, 2016	8,000.15	8,051.60	7,966.29	7,984.86	14,060,625
Sep 28, 2016	7,991.32	8,024.21	7,953.01	8,004.94	15,591,450
Sep 27, 2016	7,915.85	7,994.37	7,905.86	7,981.09	17,085,203
Sep 26, 2016	7,911.77	7,939.82	7,879.61	7,914.69	16,621,547
Sep 23, 2016	7,948.50	7,956.24	7,923.49	7,936.99	13,168,966
Sep 22, 2016	7,951.30	8,018.64	7,950.17	7,963.12	14,978,268
Sep 21, 2016	7,808.16	7,944.08	7,807.85	7,931.32	15,892,555
Sep 20, 2016	7,816.07	7,851.19	7,793.11	7,793.23	12,930,884
Sep 19, 2016	7,794.33	7,846.65	7,777.06	7,792.38	14,567,414
Sep 16, 2016	7,802.98	7,802.98	7,747.79	7,770.33	44,089,721
Sep 15, 2016	7,752.79	7,819.85	7,712.13	7,800.36	15,500,346
Sep 14, 2016	7,768.14	7,802.22	7,732.56	7,755.40	15,401,110
Sep 13, 2016	7,898.92	7,899.16	7,753.88	7,771.91	19,491,864
Sep 12, 2016	7,786.59	7,956.33	7,756.99	7,925.90	18,179,771
Sep 9, 2016	8,025.19	8,038.04	7,822.41	7,822.59	18,285,272
Sep 8, 2016	8,049.62	8,083.30	8,038.07	8,076.60	13,344,831
Sep 7, 2016	7,962.20	8,070.14	7,960.44	8,057.60	19,041,050
Sep 6, 2016	7,948.19	7,954.47	7,904.25	7,952.40	14,029,833
Sep 2, 2016	7,925.72	7,995.89	7,925.72	7,946.79	11,695,149
Sep 1, 2016	7,896.30	7,945.09	7,849.33	7,917.56	12,697,388
Aug 31, 2016	7,894.77	7,898.12	7,817.57	7,878.69	18,637,087
Aug 30, 2016	7,862.86	7,926.48	7,862.86	7,910.12	16,964,052
Aug 29, 2016	7,830.69	7,877.20	7,825.45	7,860.30	10,313,643
Aug 26, 2016	7,876.01	7,915.30	7,804.62	7,824.54	12,144,910
Aug 25, 2016	7,902.39	7,909.15	7,860.66	7,868.03	9,740,818
Aug 24, 2016	7,919.50	7,949.17	7,901.90	7,918.65	11,559,322
